"","CITY","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","X..SQUARE.FEET","State","Violent.Crimes","Murder.and.Non.Negligent.Manslaughter","Rape","Robbery","Aggravated.Assault"
"9","Chicago","Townhouse",245000,3,3.5,1600,1521,2007,153,"Illinois",24089,411,1343,9804,12531
"16","Chicago","Single Family Residential",268000,4,2,1700,3123,1995,158,"Illinois",24089,411,1343,9804,12531
"35","Chicago","Multi-Family (5+ Unit)",195000,1,6,6141,4875,1905,32,"Illinois",24089,411,1343,9804,12531
"126","Chicago","Single Family Residential",415000,4,4,2750,4375,1920,151,"Illinois",24089,411,1343,9804,12531
"137","Chicago","Single Family Residential",26000,5,2,1468,6650,1885,18,"Illinois",24089,411,1343,9804,12531
"145","Chicago","Single Family Residential",16500,7,3,1724,3125,1918,10,"Illinois",24089,411,1343,9804,12531
"162","Chicago","Single Family Residential",1100000,3,3.5,3200,1920,1989,344,"Illinois",24089,411,1343,9804,12531
"191","Chicago","Townhouse",522058,3,2.5,2507,987,2016,208,"Illinois",24089,411,1343,9804,12531
"200","Chicago","Single Family Residential",775000,6,4,5004,3690,1883,155,"Illinois",24089,411,1343,9804,12531
"254","Chicago","Townhouse",275000,3,2.5,2000,1809,2016,138,"Illinois",24089,411,1343,9804,12531
"264","Chicago","Single Family Residential",350000,4,3.5,2643,3625,2011,132,"Illinois",24089,411,1343,9804,12531
"268","Chicago","Single Family Residential",177000,3,1.5,1568,4375,1944,113,"Illinois",24089,411,1343,9804,12531
"301","Chicago","Single Family Residential",90169,4,1.5,925,3149,1920,97,"Illinois",24089,411,1343,9804,12531
"320","Chicago","Single Family Residential",240000,3,2,1152,3750,1925,208,"Illinois",24089,411,1343,9804,12531
"347","Chicago","Single Family Residential",277000,3,2,2200,6751,1925,126,"Illinois",24089,411,1343,9804,12531
"374","Chicago","Single Family Residential",204000,4,3,2200,3720,1920,93,"Illinois",24089,411,1343,9804,12531
"376","Chicago","Single Family Residential",8910,5,2.5,1692,3125,1894,5,"Illinois",24089,411,1343,9804,12531
"381","Chicago","Single Family Residential",184000,3,1,900,4275,1890,204,"Illinois",24089,411,1343,9804,12531
"384","Chicago","Single Family Residential",165000,4,2.5,1272,4340,1922,130,"Illinois",24089,411,1343,9804,12531
"403","Chicago","Single Family Residential",114000,3,2.5,1240,4551,1963,92,"Illinois",24089,411,1343,9804,12531
"411","Chicago","Single Family Residential",240000,3,1.5,1472,4191,1916,163,"Illinois",24089,411,1343,9804,12531
"423","Chicago","Single Family Residential",177000,3,2,1182,3780,1923,150,"Illinois",24089,411,1343,9804,12531
